IMDb,classify,douban,title,year
7.7,剧情/爱情/灾难,9.1,　泰坦尼克号/铁达尼号(港/台),1997
7.7,剧情/爱情/灾难,9.1,　泰坦尼克号/铁达尼号(港/台),1997
7.2,剧情,9,　夺命大荒漠/炼狱孤魂/魔屋妖火,1953
8.3,纪录片,8.9,　穿越落基山脉,2011
8.3,纪录片,8.9,　穿越落基山脉,2011
8.5,短片/家庭,8.8,　小巨人 3D,2014
8.4,喜剧/动画/冒险/家庭,8.8,　头脑特工队/玩转脑朋友(港)/脑筋急转弯(台)/头脑大作战/大脑环游记/脑中小小人/大脑内外/由内而外/头脑总动员,2015
8.5,喜剧/动画/冒险/家庭,8.8,　头脑特工队/玩转脑朋友(港)/脑筋急转弯(台)/头脑大作战/大脑环游记/脑中小小人/大脑内外/由内而外/头脑总动员,2015
8.5,剧情/动画/冒险/歌舞/家庭,8.8,　狮子王/狮子王3D,1994
8.5,剧情/动画/冒险/歌舞/家庭,8.8,　狮子王/狮子王3D,1994
8.4,喜剧/动画/奇幻/冒险,8.8,　玩具总动员3 3D/反斗奇兵3(港)/玩具的故事3,2010
6.7,剧情/战争,8.6,　比利·林恩的中场战事/半场无战事/比利·林恩漫长的中场休息/比利·林漫长的中场行走/中场休息,2016
6.7,剧情/战争,8.6,　比利·林恩的中场战事/半场无战事/比利·林恩漫长的中场休息/比利·林漫长的中场行走/中场休息,2016
6.7,剧情/战争,8.6,　比利·林恩的中场战事/半场无战事/比利·林恩漫长的中场休息/比利·林漫长的中场行走/中场休息,2016
8.5,动作/科幻,8.5,　终结者2：审判日/终结者2/终结者2：末日审判/终结者续集：世界末日/魔鬼终结者2/未来战士2,1991
8.5,动作/科幻,8.5,　终结者2：审判日/终结者2/终结者2：末日审判/终结者续集：世界末日/魔鬼终结者2/未来战士2,1991
8.5,动作/科幻,8.5,　终结者2：审判日/终结者2/终结者2：末日审判/终结者续集：世界末日/魔鬼终结者2/未来战士2,1991
7.2,喜剧/动画/歌舞,8.3,　欢乐好声音/歌唱秀/星梦动物园(港)/演唱/歌唱/动物园好声音,2016
7.2,喜剧/动画/歌舞,8.3,　欢乐好声音/歌唱秀/星梦动物园(港)/演唱/歌唱/动物园好声音,2016
7.2,喜剧/动画/歌舞,8.3,　欢乐好声音/歌唱秀/星梦动物园(港)/演唱/歌唱/动物园好声音,2016
7.5,动作/奇幻/冒险,8.2,　霍比特人3：五军之战/哈比人：五军之战(港台)/哈比人：奇境再返(台)/哈比人：汗血回归/指环王前传：霍比特人(下)/霍比特人3：去而复返,2014
7.5,动作/奇幻/冒险,8.2,　霍比特人3：五军之战/哈比人：五军之战(港台)/哈比人：奇境再返(台)/哈比人：汗血回归/指环王前传：霍比特人(下)/霍比特人3：去而复返,2014
7.5,动作/奇幻/冒险,8.2,　霍比特人3：五军之战/哈比人：五军之战(港台)/哈比人：奇境再返(台)/哈比人：汗血回归/指环王前传：霍比特人(下)/霍比特人3：去而复返,2014
7.5,动作/奇幻/冒险,8.2,　霍比特人3：五军之战/哈比人：五军之战(港台)/哈比人：奇境再返(台)/哈比人：汗血回归/指环王前传：霍比特人(下)/霍比特人3：去而复返,2014
7.5,动作/奇幻/冒险,8.2,　霍比特人3：五军之战/哈比人：五军之战(港台)/哈比人：奇境再返(台)/哈比人：汗血回归/指环王前传：霍比特人(下)/霍比特人3：去而复返,2014
7.8,动画/奇幻,8.2,　小王子,2015
8.1,动画/冒险/喜剧/家庭,8.2,　海底总动员/海底奇兵/寻找尼莫/海底总动员3D,2003
8.1,动画/冒险/喜剧/家庭,8.2,　海底总动员/海底奇兵/寻找尼莫/海底总动员3D,2003
7.9,动作/科幻/冒险,8.1,　银河护卫队2/星际异攻队2(台)/银河守护队2(港)/银护2,2017
7.9,动作/科幻/冒险,8.1,　银河护卫队2/星际异攻队2(台)/银河守护队2(港)/银护2,2017
7.9,动作/科幻/冒险,8.1,　银河护卫队2/星际异攻队2(台)/银河守护队2(港)/银护2,2017
7.5,喜剧/动作/动画/冒险,8.1,　乐高蝙蝠侠大电影/Lego蝙蝠侠英雄传(港)/乐高蝙蝠侠电影(台)/乐高蝙蝠侠/乐高大电影：蝙蝠侠,2017
7.5,喜剧/动作/动画/冒险,8.1,　乐高蝙蝠侠大电影/Lego蝙蝠侠英雄传(港)/乐高蝙蝠侠电影(台)/乐高蝙蝠侠/乐高大电影：蝙蝠侠,2017
7.5,喜剧/动作/动画/冒险,8.1,　乐高蝙蝠侠大电影/Lego蝙蝠侠英雄传(港)/乐高蝙蝠侠电影(台)/乐高蝙蝠侠/乐高大电影：蝙蝠侠,2017
8.2,动画/冒险,8,　久保与二弦琴/魔弦传说/酷宝：魔弦传说(台)/捉妖敢死队(港)/久保与二胡,2016
8.2,动画/冒险,8,　久保与二弦琴/魔弦传说/酷宝：魔弦传说(台)/捉妖敢死队(港)/久保与二胡,2016
7.3,动作/科幻/奇幻/冒险,8,　X战警：天启/变种特攻：天启灭世战(港)/X战警：启示录,2016
7.3,动作/科幻/奇幻/冒险,8,　X战警：天启/变种特攻：天启灭世战(港)/X战警：启示录,2016
7.3,动作/科幻/奇幻/冒险,8,　X战警：天启/变种特攻：天启灭世战(港)/X战警：启示录,2016
7.8,动作/科幻/冒险,8,　星际迷航：暗黑无界/星际争霸战2：暗黑无界(台)/星空奇遇记：黑域时空(港)/星际迷航：驶入黑暗/星际迷航：进入黑暗/星际旅行12/星舰奇航记12/星舰迷航12/星际迷航12,2013
